,Ne,N_generations,Mu,Rho,dsel,tractlen,sellen,RbyU,logRbyU,theta,S,c,dmin,dmax,seff,leff,scor
rspecies1,5000,20000,2.139e-06,1.576e-05,-0.001116,900,41,7.36792893875643,1.99713665432946,0.02139,11.16,0.0249490704656333,-3e-04,0.01991,6.64,28,0.198208253590452
rspecies2,5000,20000,3.042e-06,9.481e-06,-0.001012,1150,79,3.11669953977646,1.13677460209872,0.03042,10.12,0.0131232321212052,-0.00067,0.02706,6.64,53,0.327917362580956
rspecies3,5000,20000,5.305e-06,6.682e-06,-0.000784,1583,72,1.25956644674835,0.230767571868618,0.05305,7.84,0.014753618807414,0.00289,0.04247,3.88,47,0.31106542060066
rspecies4,5000,20000,4.943e-06,1.092e-05,-0.001443,1070,47,2.20918470564435,0.792623535991937,0.04943,14.43,0.0220067675009628,-0.00236,0.04006,6.64,31,0.265099798394157
rspecies5,5000,20000,7.222e-07,1.177e-06,-0.000924,1035,35,1.62974245361396,0.488421998416919,0.007222,9.24,0.0361214791306189,-0.00018,0.00638,6.64,19,0.12610801112067
rspecies6,5000,20000,3.022e-06,2.646e-06,-0.000652,814,66,0.875579086697551,-0.132869798157784,0.03022,6.52,0.0132864629853604,0.00585,0.02401,2.04,52,0.16752970560164
rspecies7,5000,20000,7.273e-06,1.156e-05,-0.000579,1341,62,1.58944039598515,0.463382002071828,0.07273,5.79,0.0173667491843049,0.0116,0.05583,2.27,40,0.293414439152763
rspecies8,5000,20000,5.258e-06,1.203e-05,-0.001358,1587,63,2.28794218333967,0.827652803678898,0.05258,13.58,0.0175671388635938,-0.00438,0.04261,6.64,39,0.350578066839125
rspecies9,5000,20000,4.605e-06,2.685e-06,-0.000982,652,71,0.583061889250814,-0.539461941746442,0.04605,9.82,0.0144634266584156,0.00485,0.02558,2.4,48,0.209868003004323
rspecies10,5000,20000,6.26e-06,5.958e-06,-0.000451,1898,65,0.951757188498403,-0.0494453308209165,0.0626,4.51,0.0153477475776085,0.01569,0.04887,1.64,45,0.250744617013192
rspecies11,5000,20000,5.186e-06,5.673e-06,-0.001079,1460,56,1.09390667180872,0.0897553912279575,0.05186,10.79,0.019283309060561,-8e-05,0.04046,6.64,36,0.331072715645467
rspecies12,5000,20000,9.725e-06,7.49e-06,-0.000489,1050,73,0.770179948586118,-0.261131091975382,0.09725,4.89,0.0135467421544946,0.02097,0.06746,1.69,51,0.344319002294621
rspecies13,5000,20000,6.645e-06,2.701e-06,-0.000673,1009,81,0.406471030850263,-0.90024261735473,0.06645,6.73,0.0121364359808784,0.01121,0.03938,1.81,57,0.301247787133024
rspecies14,5000,20000,2.718e-06,1.304e-05,-0.001097,1036,60,4.79764532744665,1.56812524076955,0.02718,10.97,0.0179469645093756,-0.0011,0.0241,6.64,39,0.257501980552957
rspecies15,5000,20000,8.011e-07,1.832e-06,-0.00087,1774,75,2.28685557358632,0.827177762013004,0.008011,8.7,0.0134246130205521,0.00047,0.00721,3.94,52,0.211895728744968
rspecies16,5000,20000,3.585e-06,5.542e-06,-0.000881,1304,54,1.54588563458856,0.435596972389203,0.03585,8.81,0.0201767767879468,-0.00011,0.03036,6.64,34,0.236777564015167
rspecies17,5000,20000,3.583e-06,7.936e-06,-0.000697,1191,67,2.21490371197321,0.795208931659755,0.03583,6.97,0.0160419240217212,0.00274,0.03053,3.48,43,0.291368689216505
rspecies18,5000,20000,2.438e-06,3.028e-07,-0.000628,1107,60,0.124200164068909,-2.08586078847792,0.02438,6.28,0.0165509424500435,0.00558,0.01227,1.14,42,0.124459604269408
rspecies19,5000,20000,4.513e-06,1.289e-05,-0.000687,1727,52,2.85619321958786,1.04948969610623,0.04513,6.87,0.0220587794379901,0.00555,0.03669,2.72,31,0.26312715866128
rspecies20,5000,20000,7.042e-07,3.093e-06,-0.000762,1646,47,4.39221811985231,1.47983436596412,0.007042,7.62,NA,NA,NA,NA,NA,0.054551127841688
rspecies21,5000,20000,1.851e-06,7.46e-06,-0.000711,929,59,4.03025391680173,1.39382938062431,0.01851,7.11,0.0185730740113258,0.00144,0.01677,3.54,37,0.205867334081463
rspecies22,5000,20000,1.91e-06,6.387e-06,-0.001362,880,63,3.34397905759162,1.20716143252091,0.0191,13.62,0.0185639572464444,-0.0014,0.0169,6.64,37,0.228535328830016
